Group_1,Group_2,Metric,EER
CW Spoof,Mid-Wrong Bonafide,voiced_unvoiced_ratio,0.4
CW Spoof,Mid-Wrong Bonafide,rms_first_100ms,0.4
CW Spoof,Mid-Wrong Bonafide,rmse_mean,0.4
CW Spoof,Mid-Wrong Bonafide,rmse_amplitude,0.4
CW Spoof,Mid-Wrong Spoof,duration_s,0.4
CW Spoof,Mid-Wrong Spoof,speech_length_s,0.4
CW Spoof,Mid-Wrong Spoof,leading_silence_s,0.6499999999999999
CW Spoof,Mid-Wrong Spoof,trailing_silence_s,0.6
CW Spoof,Mid-Wrong Spoof,voiced_frames,0.4
CW Spoof,Mid-Wrong Spoof,unvoiced_frames,0.4
CW Spoof,Mid-Wrong Spoof,voiced_unvoiced_ratio,0.4
CW Spoof,Mid-Wrong Spoof,rms_first_100ms,0.4
CW Spoof,Mid-Wrong Spoof,rmse_mean,0.25
CW Spoof,Mid-Wrong Spoof,rmse_amplitude,0.25
CW Spoof,Worst-Scored Spoof,duration_s,0.096875
CW Spoof,Worst-Scored Spoof,speech_length_s,0.096875
CW Spoof,Worst-Scored Spoof,leading_silence_s,0.6125
CW Spoof,Worst-Scored Spoof,trailing_silence_s,0.41875
CW Spoof,Worst-Scored Spoof,voiced_frames,0.096875
CW Spoof,Worst-Scored Spoof,unvoiced_frames,0.096875
CW Spoof,Worst-Scored Spoof,voiced_unvoiced_ratio,0.30625
CW Spoof,Worst-Scored Spoof,rms_first_100ms,0.5
CW Spoof,Worst-Scored Spoof,rmse_mean,0.403125
CW Spoof,Worst-Scored Spoof,rmse_amplitude,0.3875
Mid-Correct Bonafide,Mid-Correct Spoof,duration_s,0.4
Mid-Correct Bonafide,Mid-Correct Spoof,speech_length_s,0.4
Mid-Correct Bonafide,Mid-Correct Spoof,leading_silence_s,0.4
Mid-Correct Bonafide,Mid-Correct Spoof,trailing_silence_s,0.4
Mid-Correct Bonafide,Mid-Correct Spoof,voiced_frames,0.2
Mid-Correct Bonafide,Mid-Correct Spoof,unvoiced_frames,0.4
Mid-Correct Bonafide,Mid-Correct Spoof,voiced_unvoiced_ratio,0.2
Mid-Correct Bonafide,Mid-Correct Spoof,rms_first_100ms,0.2
Mid-Correct Bonafide,Mid-Correct Spoof,rmse_mean,0.4
Mid-Correct Bonafide,Mid-Correct Spoof,rmse_amplitude,0.2
Mid-Correct Bonafide,Mid-Wrong Bonafide,duration_s,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,speech_length_s,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,leading_silence_s,0.2
Mid-Correct Bonafide,Mid-Wrong Bonafide,trailing_silence_s,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,voiced_frames,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,unvoiced_frames,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,voiced_unvoiced_ratio,0.4
Mid-Correct Bonafide,Mid-Wrong Bonafide,rms_first_100ms,0.2
